fold,n_predictions,n_mape_samples,mape,mae,rmse
fold_1,1200,1200,1.2002348570023837,2.3992598046504567,3.005872914443916
fold_2,1200,1200,1.2041886322998099,2.409185130027063,3.000758900022624
fold_3,1200,1200,1.2639656309347778,2.5296459189220144,3.1411940066583446
fold_4,1200,1200,1.1933472694313205,2.3858136318476926,2.9883541875994277
