fold,n_predictions,n_mape_samples,mape,mae,rmse
fold_1,1200,1200,0.952915944530704,1.9053917044714856,2.4045814777803756
fold_2,1200,1200,0.9699113273529413,1.9414875414410335,2.4404591734189776
fold_3,1200,1200,0.9899245612994083,1.9814158420016335,2.506783272161095
fold_4,1200,1200,0.9992707344882035,1.9984006715351377,2.5107670788037835
