fold,n_predictions,n_mape_samples,mape,mae,rmse
fold_1,1200,1200,1.5700706730022158,3.1381783614941847,3.936710740187677
fold_2,1200,1200,1.636019565902315,3.2737922639238644,4.112165248589674
fold_3,1200,1200,1.6099229400722286,3.2209571351570707,4.030103159508306
fold_4,1200,1200,1.5924529369363352,3.182727227221689,4.019159181877064
